h2p_row;h2p_label;h2p_value;param_id;param_descript1;param_descript2;scale_function;norm_function;gate;;
0;/*@Meta;;;;;;;;;
1;;;;;;;;;;
2;Author:;;;;;;;;;
3;'DeepDiva';;;;;;;;;
4;;;;;;;;;;
5;Categories:;;;;;;;;;
6;'Other:Initialize, Other:Templates';;;;;;;;;
7;;;;;;;;;;
8;*/;;;;;;;;;
9;;;;;;;;;;
10;#AM;Diva;;;;;;;;
11;#Vers;10001;;;;;;;;
12;#Endian;little;;;;;;;;
13;#nm;24;;;;;;;;
14;#ms;none;;;;;;;;
15;#ms;ModWhl;;;;;;;;
16;#ms;PitchW;;;;;;;;
17;#ms;CtrlA;;;;;;;;
18;#ms;CtrlB;;;;;;;;
19;#ms;Gate;;;;;;;;
20;#ms;Velocity;;;;;;;;
21;#ms;Pressure;;;;;;;;
22;#ms;KeyFollow;;;;;;;;
23;#ms;KeyFollow2;;;;;;;;
24;#ms;Alternate;;;;;;;;
25;#ms;Random;;;;;;;;
26;#ms;StackVoice;;;;;;;;
27;#ms;VoiceMap;;;;;;;;
28;#ms;Env1;;;;;;;;
29;#ms;Env2;;;;;;;;
30;#ms;LFO1;;;;;;;;
31;#ms;LFO2;;;;;;;;
32;#ms;Rectify;;;;;;;;
33;#ms;Invert;;;;;;;;
34;#ms;Quant;;;;;;;;
35;#ms;Lag;;;;;;;;
36;#ms;Adder;;;;;;;;
37;#ms;Multiply;;;;;;;;
38;#NV;2;;;;;;;;
39;#mv;Gate;;;;;;;;
40;#mv;Env1;;;;;;;;
41;#cm;main;;;;;;;;
42;CcOp;150.00;0; main; Output;scale_float_0_200;norm_float_0_200;;;verified!
43;#FX1;0;1;main;Active #FX1;scale_int_0_1;norm_int_0_1;gate;;
44;#FX2;0;2;main;Active #FX2;scale_int_0_1;norm_int_0_1;gate;;
45;#cm;PCore;;;;;;;;
46;SBase;4;;;;;;;;
47;Swing;0.00;;;;;;;;
48;STrig;1;;;;;;;;
49;PFold;0;;;;;;;;
50;PFile;1;;;;;;;;
51;Rev;9709;;;;;;;;
52;LED;0.00;3; PCore; LED Colour;scale_float_0_1;norm_float_0_1;;;
53;MidiA;2;;;;;;;;
54;MidiP;3;;;;;;;;
55;DFold;4;;;;;;;;
56;#cm;CLK;;;;;;;;
57;Mult;100.00;256; CLK; Multiply;scale_float_50_200;norm_float_50_200;;;
58;Base;2;257; CLK; TimeBase;scale_int_0_3;norm_int_0_3;;;
59;Swing;0.00;258; CLK; Swing;scale_float_0_100;norm_float_0_100;;;
60;Strict;1;;;;;;;;
61;#cm;ARP;;;;;;;;
62;Dir;1;259; ARP; Direction;scale_int_0_5;norm_int_0_5;;;
63;Oct;1;260; ARP; Octaves;scale_int_0_3;norm_int_0_3;;;
64;CDiv;0;261; ARP; Multiply;scale_placeholder;norm_placeholder;;;
65;Rstrt;0;262; ARP; Restart;scale_int_0_12;norm_int_0_12;;;
66;OnOff;0;263; ARP; OnOff;scale_int_0_1;norm_int_0_1;gate;;
67;Order;0;271; ARP; Order;scale_int_0_3;norm_int_0_3;;;
68;#cm;VCC;;;;;;;;
69;Voices;4;4; VCC; Voices;scale_int_0_7;norm_int_0_7;;!;
70;Voicing;1;5; VCC; Voice Stack;scale_int_0_6;norm_int_0_6;;!;
71;Mode;0;6; VCC; Mode;scale_int_0_4;norm_int_0_4;;;
72;PortaM;0;7; VCC; GlideMode;scale_int_0_1;norm_int_0_1;;;
73;Porta;0.00;8; VCC; Glide;scale_float_0_100;norm_float_0_100;;;
74;Porta2;0.00;9; VCC; Glide2;scale_float_100_100;norm_float_100_100;;;
75;PRange;100.00;10; VCC; GlideRange;scale_float_0_100;norm_float_0_100;;;
76;PB;2;11; VCC; PitchBend Up;scale_int_0_26;norm_int_0_26;;;
77;PBD;2;12; VCC; PitchBend Down;scale_int_0_26;norm_int_0_26;;;
78;Drft;0;;;;;;;;
79;MTunS;0;13; VCC; TuningMode;scale_int_0_1;norm_int_0_1;;;
